mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1802.1728385686874,527.8078414201736,140.87097930908203,140.87097930908203,False,40,log2,2,3,400,"{'bootstrap': False, 'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 400}",-6.362239813301335,,,,11
988.2084270715714,29.409473538398743,0.0,0.0,False,50,log2,1,2,200,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,,,,11
1702.5726010799408,503.83486580848694,170.4495725631714,170.4495725631714,False,50,log2,1,2,300,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-6.359716731859933,,,,11
1044.109672665596,424.924933552742,0.0,0.0,False,50,log2,1,2,400,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",,,,,11
336.284157037735,148.9669270515442,0.0,0.0,False,50,log2,1,3,200,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",,,,,11
915.8386751413345,552.7398203611374,0.0,0.0,False,50,log2,1,3,300,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",,,,,11
2353.3742431402206,299.92909848690033,0.0,0.0,False,50,log2,1,3,400,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}",,,,,11
1063.596003293991,93.4084722995758,0.0,0.0,False,50,log2,2,2,200,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",,,,,11
1685.0319201946259,53.11378741264343,205.24895310401917,1.235961675643921,False,50,log2,2,2,300,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-6.3601937743119255,-6.386578925151785,-6.373386349731855,0.013192575419929575,2
2174.6131168603897,81.06343734264374,141.1606959104538,141.1606959104538,False,50,log2,2,2,400,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-6.357549307171517,,,,11
1119.7662856578827,0.6226785182952881,134.90395843982697,3.5867990255355835,False,50,log2,2,3,200,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 200}",-6.365969704068059,-6.392225257079541,-6.379097480573799,0.013127776505740929,6
1552.5802909135818,115.53424108028412,100.12986981868744,100.12986981868744,False,50,log2,2,3,300,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",-6.3601937743119255,,,,11
2068.960498213768,8.943396925926208,285.0942553281784,4.854008793830872,False,50,log2,2,3,400,"{'bootstrap': False, 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 400}",-6.357549307171517,-6.3824796816578475,-6.370014494414683,0.012465187243165143,1
