Model,MAE,RMSE,R2
GridSearch_RF,6.017355783723003,9.128796333544306,0.9059073215351243
Baseline_RF,6.042085066502524,9.193754692942342,0.904563474668127
RandomSearch_RF,6.561061426112061,9.842733500239746,0.8906143760614601
